Number,Total,HDBDwellings_Total,HDBDwellings_1_and2_RoomFlats1,HDBDwellings_3_RoomFlats,HDBDwellings_4_RoomFlats,HDBDwellings_5_RoomandExecutiveFlats,CondominiumsandOtherApartments,LandedProperties,Others
Total,1372559,1080088,88814,242388,434277,314609,220102,68425,3944
Married Couple-Based Households,883364,675133,27230,109484,295914,242505,154198,52760,1273
Household Reference Person Aged Below 35 Years,75939,63959,2883,9498,33692,17885,11252,553,175
No Children in Household,33135,26686,406,4173,14500,7607,6077,235,137
With Child(ren) in Household,42804,37273,2478,5325,19192,10278,5175,319,37
Household Reference Person Aged 35 - 49 Years,302896,218139,4836,29786,101646,81871,72701,11721,334
No Children in Household ,51265,38310,1037,7294,18725,11255,11957,867,131
With Youngest Child Below 12 Years ,197190,140269,2983,17517,65072,54697,48533,8230,157
With Youngest Child Aged 12 - 15 Years,34542,23908,379,2938,10349,10241,8726,1873,36
With Youngest Child Aged 16 Years and Over,19899,15653,437,2038,7500,5678,3485,751,10
Household Reference Person Aged 50 - 64 Years,328463,252024,9188,39372,104327,99137,53345,22687,407
No Children in Household  ,54911,42364,4276,11488,15541,11058,9768,2567,212
With Youngest Child Below 12 Years  ,28234,21064,1376,4452,8443,6793,5307,1853,9
With Youngest Child Aged 12 - 15 Years ,34015,24543,656,3509,9626,10752,7017,2418,37
With Youngest Child Aged 16 Years and Over ,211304,164053,2880,19923,70717,70533,31253,15849,149
Household Reference Person Aged 65 Years and Over,176066,141011,10323,30828,56249,43611,16900,17799,357
No Children in Household   ,89040,72572,8600,19203,26233,18536,9031,7271,166
With Child(ren) in Household,87026,68439,1723,11625,30016,25075,7869,10528,191
Other Households with Family Nucleus,187769,161952,16430,46536,63526,35460,18223,7353,242
Households without Family Nucleus,301426,243003,45153,86368,74837,36645,47682,8313,2429
